time,cumulative daily rainfall (mm)
2012-10-07,0.43145752
2012-10-08,0.31610107
2012-10-09,0.22680664
2012-10-10,0.17138672
2012-10-11,0.1104126
2012-10-12,0.086364746
2012-10-13,0.46655273
2012-10-14,0.8015137
2012-10-15,0.2602539
2012-10-16,0.4545288
2012-10-17,0.4055786
2012-10-18,0.22888184
2012-10-19,0.2609253
2012-10-20,0.30578613
2012-10-21,0.41888428
2012-10-22,0.49090576
2012-10-23,0.5611572
2012-10-24,1.0859985
2012-10-25,0.31799316
2012-10-26,2.5148315
2012-10-27,0.9456177
2012-10-28,0.34643555
2012-10-29,0.16937256
2012-10-30,0.6030884
2012-10-31,0.44647217
2012-11-01,0.2140503
2012-11-02,1.114563
2012-11-03,0.8057251
2012-11-04,0.29968262
2012-11-05,0.19671631
2012-11-06,0.55267334
2012-11-07,0.032836914
2012-11-08,0.24346924
2012-11-09,0.2539673
2012-11-10,1.206604
2012-11-11,1.0722656
2012-11-12,0.7225342
2012-11-13,0.81817627
2012-11-14,1.012085
2012-11-15,1.1883545
2012-11-16,0.39135742
2012-11-17,0.68981934
2012-11-18,1.4458618
2012-11-19,0.49621582
2012-11-20,3.347168
2012-11-21,1.723938
2012-11-22,1.8356934
2012-11-23,1.9558716
2012-11-24,0.91296387
2012-11-25,1.145874
2012-11-26,1.4376831
2012-11-27,2.4937134
2012-11-28,2.8912354
2012-11-29,2.0299683
2012-11-30,2.6329956
2012-12-01,1.4697266
2012-12-02,1.7589111
2012-12-03,2.0603027
2012-12-04,2.053711
2012-12-05,1.2623291
2012-12-06,1.7345581
2012-12-07,1.4385376
2012-12-08,1.8065186
2012-12-09,2.8900146
2012-12-10,1.3803711
2012-12-11,0.79418945
2012-12-12,0.11291504
2012-12-13,0.032409668
2012-12-14,0.099609375
2012-12-15,0.3414917
2012-12-16,1.75
2012-12-17,3.4870605
2012-12-18,2.9326172
2012-12-19,2.5186157
2012-12-20,3.293335
2012-12-21,2.2315674
2012-12-22,2.3184814
2012-12-23,3.4343872
2012-12-24,2.6121826
2012-12-25,3.3308716
2012-12-26,1.9187622
2012-12-27,1.510315
2012-12-28,1.9537354
2012-12-29,2.119934
2012-12-30,2.3876953
2012-12-31,2.4249878
2013-01-01,0.87176514
2013-01-02,0.42785645
2013-01-03,0.47766113
2013-01-04,2.0839233
2013-01-05,6.216797
2013-01-06,3.803833
2013-01-07,3.1168213
2013-01-08,3.6711426
2013-01-09,1.3981934
2013-01-10,0.4743042
2013-01-11,0.09088135
2013-01-12,0.09661865
2013-01-13,0.5853882
2013-01-14,1.5952148
2013-01-15,1.0343628
2013-01-16,2.6802368
2013-01-17,1.4264526
2013-01-18,0.68011475
2013-01-19,0.5081787
2013-01-20,0.4286499
2013-01-21,0.17028809
2013-01-22,0.048034668
2013-01-23,0.1887207
2013-01-24,0.3284912
2013-01-25,1.4551392
2013-01-26,1.9824829
2013-01-27,3.4013062
2013-01-28,3.7353516
2013-01-29,0.9724121
2013-01-30,0.6095581
2013-01-31,0.5405884
2013-02-01,0.29412842
2013-02-02,0.95007324
2013-02-03,0.81036377
2013-02-04,1.317749
2013-02-05,1.9547119
2013-02-06,2.4658813
